Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Haskell, Fibonacci, 15, 656.945373535156250000, 511.647521972656250000,  ,  , 43633, 47.6, 9760
Haskell, Fibonacci, 15, 657.562988281250000000, 510.896789550781250000,  ,  , 43743, 47.4, 9600
Haskell, Fibonacci, 16, 686.452941894531250000, 543.166931152343750000,  ,  , 42951, 48.9, 9760
Haskell, Fibonacci, 16, 688.399719238281250000, 545.829650878906250000,  ,  , 42873, 48.1, 9760
Haskell, Fibonacci, 16, 688.274597167968750000, 544.766906738281250000,  ,  , 42884, 48.1, 9760
Haskell, Fibonacci, 16, 689.124816894531250000, 543.507141113281250000,  ,  , 42953, 48.5, 9760
Haskell, Fibonacci, 16, 689.790222167968750000, 545.287841796875000000,  ,  , 42974, 48.5, 9760
Haskell, Fibonacci, 16, 688.406677246093750000, 544.472900390625000000,  ,  , 42973, 48.5, 9600
Haskell, Fibonacci, 16, 688.633544921875000000, 545.789184570312500000,  ,  , 42894, 48.1, 10080
Haskell, Fibonacci, 16, 689.072937011718750000, 542.887268066406250000,  ,  , 42945, 49.3, 9760
Haskell, Fibonacci, 16, 688.824768066406250000, 544.365661621093750000,  ,  , 42883, 48.1, 9920
Haskell, Fibonacci, 16, 688.252136230468750000, 545.065673828125000000,  ,  , 42903, 49.4, 9600
Haskell, Fibonacci, 17, 720.289062500000000000, 578.420593261718750000,  ,  , 42254, 49.3, 9760
Haskell, Fibonacci, 17, 720.723083496093750000, 578.194519042968750000,  ,  , 42303, 49.8, 9440
Haskell, Fibonacci, 17, 720.388732910156250000, 578.719299316406250000,  ,  , 42233, 50.6, 9600
Haskell, Fibonacci, 17, 719.946044921875000000, 578.743957519531250000,  ,  , 42233, 49.0, 9600
Haskell, Fibonacci, 17, 718.256103515625000000, 576.857360839843750000,  ,  , 42186, 49.3, 9600
Haskell, Fibonacci, 17, 720.339233398437500000, 577.244934082031250000,  ,  , 42224, 50.2, 9760
Haskell, Fibonacci, 17, 720.128601074218750000, 578.835510253906250000,  ,  , 42212, 50.1, 9760
Haskell, Fibonacci, 17, 722.678405761718750000, 577.838806152343750000,  ,  , 42385, 50.4, 9600
Haskell, Fibonacci, 17, 719.999389648437500000, 578.698852539062500000,  ,  , 42324, 49.9, 9600
Haskell, Fibonacci, 17, 723.217407226562500000, 578.994201660156250000,  ,  , 42422, 50.6, 9760
Haskell, Fibonacci, 18, 752.716186523437500000, 611.602722167968750000,  ,  , 41692, 51.2, 9600
Haskell, Fibonacci, 18, 753.776489257812500000, 610.562316894531250000,  ,  , 41755, 50.6, 9920
Haskell, Fibonacci, 18, 752.765502929687500000, 612.485839843750000000,  ,  , 41714, 50.1, 9600
Haskell, Fibonacci, 18, 753.999084472656250000, 610.717956542968750000,  ,  , 41744, 52.0, 9600
Haskell, Fibonacci, 18, 752.429138183593750000, 612.135009765625000000,  ,  , 41694, 51.4, 9440
Haskell, Fibonacci, 18, 753.065734863281250000, 612.510314941406250000,  ,  , 41765, 50.8, 9920
Haskell, Fibonacci, 18, 751.245178222656250000, 610.615600585937500000,  ,  , 41712, 50.1, 9920
Haskell, Fibonacci, 18, 751.624633789062500000, 608.093383789062500000,  ,  , 41745, 50.4, 9760
Haskell, Fibonacci, 18, 752.513122558593750000, 611.071228027343750000,  ,  , 41664, 52.6, 9760
Haskell, Fibonacci, 18, 750.378723144531250000, 609.994445800781250000,  ,  , 41572, 51.5, 9760
Haskell, Fibonacci, 19, 782.414733886718750000, 641.357727050781250000,  ,  , 41094, 53.1, 9600
Haskell, Fibonacci, 19, 784.197570800781250000, 643.249389648437500000,  ,  , 41183, 51.9, 9600
Haskell, Fibonacci, 19, 783.920959472656250000, 644.189147949218750000,  ,  , 41152, 51.1, 9600
Haskell, Fibonacci, 19, 783.164916992187500000, 643.554077148437500000,  ,  , 41142, 51.9, 9760
